Symbol,Name,Sector
IDCC,InterDigital Inc.,Information Technology
IBOC,Intl Bancshares Corp,Financials
ITT,ITT Inc,Industrials
JCOM,j2 Global Inc.,Information Technology
JBL,Jabil Circuit Inc,Information Technology
JACK,Jack in the Box Inc.,Consumer Discretionary
JHG,Janus Henderson,Financials
JBGS,JBG Smith Properties,Real Estate
JEF,Jefferies Financial Group,Financials
JBLU,JetBlue Airways Corp,Industrials
JW.A,John Wiley & Sons,Communication Services
JLL,Jones Lang Lasalle Inc,Real Estate
KAR,KAR Auction Services,Industrials
KBH,KB Home,Consumer Discretionary
KBR,KBR Inc,Industrials
KMPR,Kemper Corporation,Financials
KMT,Kennametal Inc,Industrials
KRC,Kilroy Realty Corp,Real Estate
KEX,Kirby Corporation,Industrials
KNX,Knight-Swift,Industrials
LAMR,Lamar Advertising Company,Real Estate
LANC,Lancaster Colony Corp,Consumer Staples
LSTR,Landstar System Inc,Industrials
LM,Legg Mason Inc,Financials
TREE,LendingTree,Financials
LII,Lennox International Inc,Industrials
LPT,Liberty Property Trust,Real Estate
LSI,Life Storage Inc,Real Estate
LGND,Ligand Pharmaceuticals,Health Care
LECO,Lincoln Electric Holdings Inc,Industrials
LFUS,Littelfuse Inc,Information Technology
LIVN,LivaNova,Health Care
LYV,Live Nation Entertainment,Communication Services
RAMP,LiveRamp,Information Technology
LOGM,LogMeIn,Information Technology
LPX,Louisiana-Pacific Corp,Materials
LITE,Lumentum Holdings,Information Technology
CLI,Mack-Cali Realty Corporation,Real Estate
MANH,Manhattan Associates Inc.,Information Technology
MAN,ManpowerGroup,Industrials
VAC,Marriott Vacations Worldwide,Consumer Discretionary
MASI,Masimo,Health Care
MTZ,MasTec,Industrials
MTDR,Matador Resources,Energy
MAT,Mattel,Consumer Discretionary
MMS,Maximus Inc,Information Technology
MDU,MDU Resources Group Inc,Utilities
MPW,Medical Properties Trust Inc,Real Estate
MDSO,Medidata Solutions,Health Care
MD,MEDNAX Inc,Health Care
MCY,Mercury General Corp,Financials
MRCY,Mercury Systems,Industrials
MDP,Meredith Corp,Communication Services
MLHR,"Miller, Herman Inc",Industrials
MTX,Minerals Technologies Inc,Materials
MKSI,MKS Instruments,Information Technology
MOH,Molina Healthcare Inc,Health Care
MPWR,Monolithic Power Systems Inc,Information Technology
MSA,MSA Safety Inc,Industrials
MSM,MSC Industrial Direct A,Industrials
MUR,Murphy Oil,Energy
MUSA,Murphy USA Inc,Consumer Discretionary
NFG,National Fuel Gas,Utilities
NATI,National Instruments Corp,Information Technology
NNN,National Retail Properties Inc,Real Estate
NAVI,Navient Corp.,Financials
NCR,NCR Corp,Information Technology
NKTR,Nektar Therapeutics,Health Care
NTCT,NetScout Systems,Information Technology
NJR,New Jersey Resources,Utilities
NYCB,New York Community Bancorp Inc,Financials
NYT,New York Times Company,Communication Services
NEU,NewMarket Corporation,Materials
NDSN,Nordson Corp,Industrials
NWE,NorthWestern Corporation,Utilities
DNOW,NOW Inc,Industrials
NUS,Nu Skin Enterprises,Consumer Staples
NUVA,NuVasive Inc,Health Care
NVT,nVent Electric plc,Industrials
OAS,Oasis Petroleum,Energy
OII,Oceaneering Intl Inc,Energy
ODP,Office Depot Inc,Consumer Discretionary
OGE,OGE Energy Corp,Utilities
ODFL,Old Dominion Freight Line,Industrials
ORI,Old Republic International,Financials
OLN,Olin Corp.,Materials
OLLI,Ollie's Bargain Outlet,Consumer Discretionary
OHI,Omega Healthcare Investors,Real Estate
OGS,ONE Gas,Utilities
OSK,Oshkosh Corporation,Industrials
OC,Owens Corning,Industrials
OI,Owens-Illinois,Materials
PACW,PacWest Bancorp,Financials
PZZA,Papa John's International Inc,Consumer Discretionary
PK,Park Hotels & Resorts,Real Estate
PDCO,Patterson Companies,Health Care
PTEN,Patterson-UTI Energy,Energy
PBF,PBF Energy Inc,Energy
PEB,Pebblebrook Hotel Trust,Real Estate
PENN,Penn National Gaming,Consumer Discretionary
PEN,"Penumbra, Inc. Inc",Health Care
PPC,Pilgrim's Pride,Consumer Staples
PNFP,Pinnacle Financial Partners,Financials
PLT,Plantronics Inc,Information Technology
PNM,PNM Resources,Utilities
PII,Polaris Industries Inc,Consumer Discretionary
POL,PolyOne Corp,Materials
POOL,Pool Corp,Consumer Discretionary
POST,Post Holdings Inc,Consumer Staples
PCH,Potlatch Corp,Real Estate
PRAH,PRA Health Sciences,Health Care
PBH,Prestige Brands Holdings Inc,Health Care
PRI,Primerica Inc,Financials
PB,Prosperity Bancshares Inc,Financials
PSB,PS Business Parks,Real Estate
PTC,PTC Inc,Information Technology
RYN,Rayonier Inc,Real Estate
RBC,Regal Beloit Corp,Industrials
RGA,Reinsurance Group of America,Financials
RS,Reliance Steel & Aluminum Co.,Materials
RNR,RenaissanceRe Holdings Ltd,Financials
RGEN,Repligen,Health Care
ROL,Rollins Inc.,Industrials
RGLD,Royal Gold Inc,Materials
RPM,RPM International Inc,Materials
R,Ryder System,Industrials
SBRA,Sabra Health Care REIT,Real Estate
SABR,Sabre Corp,Information Technology
SBH,Sally Beauty Holdings Inc,Consumer Discretionary
SAFM,Sanderson Farms,Consumer Staples
SAIC,Science Applications Intl Corp,Information Technology
SGMS,Scientific Games Corporation,Consumer Discretionary
SMG,Scotts Miracle-Gro Company,Materials
SEIC,SEI Investments Corp,Financials
SIGI,Selective Insurance Group,Financials
SMTC,Semtech,Information Technology
SNH,Senior Housing Properties Trust,Real Estate
SXT,Sensient Technologies Corp,Materials
SCI,Service Corp Intl,Consumer Discretionary
SBNY,Signature Bank,Financials
SLGN,Silgan Holdings Inc,Materials
SLAB,Silicon Laboratories Inc,Information Technology
SIX,Six Flags,Consumer Discretionary
SKX,Skechers USA Inc,Consumer Discretionary
SLM,SLM Corp,Financials
SEDG,SolarEdge,Information Technology
SON,Sonoco Products Co,Materials
SWX,Southwest Gas Corp,Utilities
SWN,Southwestern Energy Co.,Energy
SRC,Spirit Realty Capital,Real Estate
SFM,Sprouts Farmers Market,Consumer Staples
STLD,Steel Dynamics Inc,Materials
SRCL,Stericycle,Industrials
STE,STERIS plc,Health Care
STL,Sterling Bancorp,Financials
SF,Stifel Financial Corp,Financials
SYNA,Synaptics,Information Technology
SYNH,Syneos Health,Health Care
SNX,SYNNEX Corporation,Information Technology
SNV,Synovus Financial Corp (GA),Financials
SKT,Tanger Factory Outlet Centers Inc,Real Estate
TCO,Taubman Centers,Real Estate
TECD,Tech Data Corp,Information Technology
TGNA,"Tegna, Inc.",Communication Services
TDY,Teledyne Technologies Inc,Industrials
TDS,Telephone and Data Systems,Communication Services
TPX,Tempur Sealy International,Consumer Discretionary
THC,Tenet Healthcare Corp,Health Care
TDC,Teradata,Information Technology
TER,Teradyne,Information Technology
TEX,Terex Corp,Industrials
TTEK,Tetra Tech,Industrials
TCBI,Texas Capital Bancshares,Financials
TXRH,Texas Roadhouse,Consumer Discretionary
THO,Thor Industries Inc,Consumer Discretionary
TKR,Timken Co,Industrials
TOL,Toll Brothers Inc,Consumer Discretionary
TR,Tootsie Roll Industries Inc,Consumer Staples
TTC,Toro Company,Industrials
RIG,Transocean,Energy
THS,TreeHouse Foods,Consumer Staples
TREX,"Trex Company, Inc.",Industrials
TPH,TRI Pointe Group,Consumer Discretionary
TRMB,Trimble Inc,Information Technology
TRN,Trinity Industries Inc,Industrials
TRMK,Trustmark Corp (MS),Financials
TYL,Tyler Technologies,Information Technology
UGI,UGI Corp,Utilities
UMBF,UMB Financial Corp.,Financials
UMPQ,Umpqua Holdings Corporation,Financials
UBSI,United Bankshares Inc,Financials
UNFI,United Natural Foods Inc,Consumer Staples
X,United States Steel Corporation,Materials
UTHR,United Therapeutics Corp,Health Care
UNIT,Uniti Group,Real Estate
OLED,Universal Display Corporation,Information Technology
UE,Urban Edge Properties,Real Estate
URBN,Urban Outfitters,Consumer Discretionary
VLY,Valley National Bancorp,Financials
VMI,Valmont Industries Inc,Industrials
VVV,Valvoline Inc,Materials
VSAT,ViaSat Inc,Information Technology
VSH,Vishay Intertechnology Inc,Information Technology
VC,Visteon,Consumer Discretionary
WRB,W.R. Berkley Corp,Financials
WAFD,Washington Federal Inc.,Financials
WSO,Watsco Inc,Industrials
WBS,Webster Financial Corp (CT),Financials
WW,Weight Watchers,Consumer Discretionary
WRI,Weingarten Realty Investors,Real Estate
WEN,Wendy's Company,Consumer Discretionary
WERN,Werner Enterprises Inc,Industrials
WST,West Pharmaceutical Services,Health Care
WEX,WEX Inc.,Information Technology
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary
WTFC,Wintrust Financial Corp,Financials
WWD,Woodward Inc,Industrials
INT,World Fuel Services Corp,Energy
WWE,World Wrestling Entertainment,Communication Services
WOR,Worthington Industries,Materials
WPX,WPX Energy,Energy
WYND,Wyndham Destinations,Consumer Discretionary
XPO,XPO Logistics,Industrials
YELP,Yelp,Communication Services
ZBRA,Zebra Technologies Corp,Information Technology
