Symbol,Name,Sector
AVNS,Avanos Medical Inc,Health Care
AVA,Avista Corporation,Utilities
AVP,Avon Products Inc,Consumer Staples
ACLS,Axcelis Tech Inc,Information Technology
AAXN,Axon Inc,Industrials
BOFI,"Axos Financial, Inc.",Financials
AZZ,AZZ Inc.,Industrials
BGS,"B&G Foods, Inc.",Consumer Staples
BMI,"Badger Meter, Inc.",Information Technology
BCPC,Balchem Corporation,Materials
BANC,"Banc Of California, Inc.",Financials
BANR,Banner Corporation,Financials
BNED,"Barnes & Noble Education, Inc.",Consumer Discretionary
BKS,"Barnes & Noble, Inc.",Consumer Discretionary
B,Barnes Group Inc.,Industrials
BELFB,Bel Fuse Inc.,Information Technology
BEL,Belmond Ltd.,Consumer Discretionary
BMS,Bemis Company,Materials
BHE,"Benchmark Electronics, Inc.",Information Technology
BHLB,"Berkshire Hills Bancorp, Inc.",Financials
BGFV,Big 5 Sporting Goods Corp,Consumer Discretionary
BIG,Big Lots,Consumer Discretionary
BEAT,"BioTelemetry, Inc.",Health Care
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary
BCOR,"Blucora, Inc.",Financials
BCC,Boise Cascade Company,Materials
BCEI,"Bonanza Creek Energy, Inc.",Energy
BPFH,"Boston Private Financial Holdings, Inc.",Financials
EPAY,"Bottomline Technologies (de), Inc.",Information Technology
BRC,Brady Corporation,Industrials
BGG,Briggs & Stratton Corporation,Industrials
BRS,Bristow Group Inc.,Energy
BRKL,"Brookline Bancorp, Inc.",Financials
BRKS,"Brooks Automation, Inc.",Information Technology
CJ,"C&J Energy Services, Inc.",Energy
CABO,Cable One Inc,Consumer Discretionary
CCMP,Cabot Microelectronics Corporation,Information Technology
CACI,CACI International Inc,Information Technology
CALM,"Cal-Maine Foods, Inc.",Consumer Staples
CAMP,CalAmp Corp.,Information Technology
CVGW,"Calavo Growers, Inc.",Consumer Staples
CAL,"Caleres, Inc.",Consumer Discretionary
CWT,California Water Service Group,Utilities
ELY,Callaway Golf Company,Consumer Discretionary
CPE,Callon Petroleum,Energy
CBM,Cambrex Corporation,Health Care
CMO,Capstead Mortgage Corporation,Real Estate
CRR,CARBO Ceramics Inc.,Energy
CATM,Cardtronics plc,Information Technology
CECO,Career Education Corporation,Consumer Discretionary
CTRE,"CareTrust REIT, Inc.",Real Estate
CRZO,"Carrizo Oil & Gas, Inc.",Energy
CARS,Cars.com Inc,Information Technology
CVCO,"Cavco Industries, Inc.",Consumer Discretionary
CBL,"CBL & Associates Properties, Inc",Real Estate
CDR,"Cedar Realty Trust, Inc.",Real Estate
CENT,Central Garden & Pet Company,Consumer Staples
CENTA,Central Garden & Pet Company,Consumer Staples
CPF,Central Pacific Financial Corp.,Financials
CENX,Century Aluminum Company,Materials
CEVA,"CEVA, Inc.",Information Technology
GTLS,"Chart Industries, Inc.",Industrials
CLDT,Chatham Lodging Trust,Real Estate
CHSP,Chesapeake Lodging Trust,Real Estate
CHS,"Chico's FAS, Inc.",Consumer Discretionary
CHUY,"Chuy's Holdings, Inc.",Consumer Discretionary
CBB,Cincinnati Bell Inc.,Telecommunication Services
CNK,Cinemark Holdings Inc,Consumer Discretionary
CIR,"CIRCOR International, Inc.",Industrials
CHCO,City Holding Company,Financials
CLW,Clearwater Paper Corporation,Materials
CLD,Cloud Peak Energy Inc.,Energy
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Staples
CCOI,"Cogent Communications Holdings, Inc.",Telecommunication Services
COHU,"Cohu, Inc.",Information Technology
COLB,"Columbia Banking System, Inc.",Financials
FIX,"Comfort Systems USA, Inc.",Industrials
CBU,"Community Bank System, Inc.",Financials
CYH,"Community Health Systems, Inc.",Health Care
CHCT,Community Healthcare Trust Incorporated,Health Care
CPSI,"Computer Programs and Systems, Inc.",Health Care
CMTL,Comtech Telecommunications Corp.,Information Technology
CNMD,CONMED Corporation,Health Care
CEIX,CONSOL Energy Inc.,Energy
CNSL,"Consolidated Communications Holdings, Inc.",Telecommunication Services
CTRL,Control4 Corporation,Information Technology
CVG,Convergys Corp,Information Technology
CTB,Cooper Tire & Rubber Company,Consumer Discretionary
CPS,Cooper-Standard Holdings Inc.,Consumer Discretionary
CORT,Corcept Therapeutics Incorporated,Health Care
CORE,"Core-Mark Holding Company, Inc.",Consumer Discretionary
CRVL,CorVel Corporation,Health Care
CRAY,Cray Inc.,Information Technology
CROX,"Crocs, Inc.",Consumer Discretionary
CCRN,"Cross Country Healthcare, Inc.",Health Care
CRY,"CryoLife, Inc.",Health Care
CSGS,"CSG Systems International, Inc.",Information Technology
CTS,CTS Corporation,Information Technology
CUB,Cubic Corporation,Industrials
CUBI,"Customers Bancorp, Inc.",Financials
CUTR,"Cutera, Inc.",Health Care
CVBF,CVB Financial Corp.,Financials
CYTK,"Cytokinetics, Incorporated",Health Care
DAKT,"Daktronics, Inc.",Information Technology
DAR,Darling Ingredients Inc.,Consumer Staples
PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Discretionary
DF,Dean Foods Company,Consumer Staples
DNR,Denbury Resources Inc.,Energy
DO,Diamond Offshore Drilling,Energy
DRH,DiamondRock Hospitality Company,Real Estate
DBD,"Diebold Nixdorf, Incorporated",Information Technology
DGII,Digi International Inc.,Information Technology
DCOM,"Dime Community Bancshares, Inc.",Financials
DIN,"Dine Brands Global, Inc.",Consumer Discretionary
DIOD,Diodes Incorporated,Information Technology
DPLO,"Diplomat Pharmacy, Inc.",Health Care
DFIN,"Donnelley Financial Solutions, Inc.",Financials
DORM,"Dorman Products, Inc.",Consumer Discretionary
DRQ,Dril-Quip,Energy
DSPG,"DSP Group, Inc.",Information Technology
DSW,DSW Inc.,Consumer Discretionary
DNB,Dun & Bradstreet Corp,Industrials
DXPE,"DXP Enterprises, Inc.",Industrials
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care
DEA,"Easterly Government Properties, Inc.",Real Estate
EGP,"EastGroup Properties, Inc.",Real Estate
EBIX,"Ebix, Inc.",Information Technology
ECHO,"Echo Global Logistics, Inc.",Industrials
EDR,Education Realty Trust Inc.,Real Estate
EHTH,"eHealth, Inc.",Financials
EE,El Paso Electric Company,Utilities
LOCO,"El Pollo Loco Holdings, Inc.",Consumer Discretionary
ERI,"Eldorado Resorts, Inc.",Consumer Discretionary
ESIO,"Electro Scientific Industries, Inc.",Information Technology
EFII,"Electronics for Imaging, Inc.",Information Technology
EBS,Emergent BioSolutions Inc.,Health Care
EIG,"Employers Holdings, Inc.",Financials
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care
ECPG,"Encore Capital Group, Inc.",Financials
WIRE,Encore Wire Corporation,Industrials
ENDP,Endo International plc,Health Care
EGN,Energen,Energy
EGL,"Engility Holdings, Inc.",Industrials
ENVA,"Enova International, Inc.",Financials
NPO,"EnPro Industries, Inc.",Industrials
PLUS,ePlus inc.,Information Technology
ERA,Era Group Inc.,Energy
ESE,ESCO Technologies Inc.,Industrials
ESND,Essendant Inc.,Industrials
ESL,Esterline Technologies,Industrials
ETH,Ethan Allen Interiors Inc.,Consumer Discretionary
EVTC,"EVERTEC, Inc.",Information Technology
EXLS,"ExlService Holdings, Inc.",Information Technology
EXPO,"Exponent, Inc.",Industrials
EXPR,"Express, Inc.",Consumer Discretionary
EXTN,Exterran Corporation,Energy
EXTR,"Extreme Networks, Inc.",Information Technology
EZPW,"EZCORP, Inc.",Financials
FN,Fabrinet,Information Technology
FARO,"FARO Technologies, Inc.",Information Technology
FSS,Federal Signal Corporation,Industrials
LION,Fidelity Southern Corporation,Financials
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Discretionary
FNSR,Finisar Corporation,Information Technology
FBP,First BanCorp,Financials
FCF,First Commonwealth Financial Corporation,Financials
FFBC,First Financial Bancorp.,Financials
FFIN,"First Financial Bankshares, Inc.",Financials
FR,"First Industrial Realty Trust, Inc.",Real Estate
FMBI,"First Midwest Bancorp, Inc.",Financials
FCFS,"FirstCash, Inc.",Financials
FTK,"Flotek Industries, Inc.",Materials
FORM,"FormFactor, Inc.",Information Technology
FORR,"Forrester Research, Inc.",Industrials
FTNT,Fortinet,Information Technology
FWRD,Forward Air Corporation,Industrials
FOSL,"Fossil Group, Inc.",Consumer Discretionary
FCPT,"Four Corners Property Trust, Inc.",Real Estate
FOXF,Fox Factory Holding Corp.,Consumer Discretionary
FRAN,Francesca's Holdings Corporation,Consumer Discretionary
FELE,"Franklin Electric Co., Inc.",Industrials
FSB,"Franklin Financial Network, Inc.",Financials
FSP,Franklin Street Properties Corp.,Real Estate
FTR,Frontier Communications Corporation,Telecommunication Services
FTD,"FTD Companies, Inc.",Consumer Discretionary
FCN,"FTI Consulting, Inc.",Industrials
FF,FutureFuel Corp.,Materials
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary
GCI,"Gannett Co., Inc.",Consumer Discretionary
GCO,Genesco Inc.,Consumer Discretionary
THRM,Gentherm Incorporated,Consumer Discretionary
GEOS,Geospace Technologies Corporation,Energy
GTY,Getty Realty Corp.,Real Estate
ROCK,"Gibraltar Industries, Inc.",Industrials
GBCI,"Glacier Bancorp, Inc.",Financials
GNL,"Global Net Lease, Inc.",Real Estate
GOV,Government Properties Income Trust,Real Estate
GWB,"Great Western Bancorp, Inc.",Financials
GNBC,"Green Bancorp, Inc.",Financials
GDOT,Green Dot Corporation,Financials
GPRE,Green Plains Inc.,Energy
GHL,"Greenhill & Co., Inc.",Financials
GFF,Griffon Corporation,Industrials
GPI,"Group 1 Automotive, Inc.",Customer Discretionary
GES,"Guess?, Inc.",Consumer Discretionary
GIFI,"Gulf Island Fabrication, Inc.",Energy
GPOR,Gulfport Energy Corp,Energy
FUL,H.B. Fuller Company,Materials
HYH,Halyard Health,Health Care
HBHC,Hancock Holding Company,Financials
HWC,Hancock Whitney Corporation,Financials
HAFC,Hanmi Financial Corporation,Financials
HLIT,Harmonic Inc.,Information Technology
HSC,Harsco Corporation,Industrials
HVT,"Haverty Furniture Companies, Inc.",Consumer Discretionary
HA,"Hawaiian Holdings, Inc.",Industrials
HWKN,"Hawkins, Inc.",Materials
HAYN,"Haynes International, Inc.",Materials
HCI,"HCI Group, Inc.",Financials
HQY,"HealthEquity, Inc.",Health Care
HSTM,"HealthStream, Inc.",Health Care
HTLD,"Heartland Express, Inc.",Industrials
HSII,"Heidrick & Struggles International, Inc.",Industrials
HLX,"Helix Energy Solutions Group, Inc.",Energy
HFWA,Heritage Financial Corporation,Health Care
HT,Hersha Hospitality Trust,Real Estate
HSKA,Heska Corporation,Health Care
HIBB,"Hibbett Sports, Inc.",Consumer Discretionary
HPR,HighPoint Resources Corporation,Energy
HI,"Hillenbrand, Inc.",Industrials
HMSY,HMS Holdings Corp.,Health Care
HMST,"HomeStreet, Inc.",Financials
HOPE,"Hope Bancorp, Inc.",Financials
HMN,Horace Mann Educators Corporation,Financials
HUBG,"Hub Group, Inc.",Industrials
IEX,IDEX Corp,Industrials
IIVI,II-VI Incorporated,Information Technology
ILG,"ILG, Inc.",Consumer Discretionary
IRT,"Independence Realty Trust, Inc.",Real Estate
INDB,Independent Bank Corp.,Financials
NGVT,Ingevity Corporation,Materials
IPHS,"Innophos Holdings, Inc.",Materials
IOSP,Innospec Inc.,Materials
INVA,"Innoviva, Inc.",Health Care
INGN,"Inogen, Inc.",Health Care
NSIT,"Insight Enterprises, Inc.",Industrials
NSP,"Insperity, Inc.",Industrials
IBP,"Installed Building Products, Inc.",Consumer Discretionary
IIIN,"Insteel Industries, Inc.",Industrials
ITGR,Integer Holdings Corporation,Health Care
IDTI,Integrated Device Technology,Information Technology
IPAR,"Inter Parfums, Inc.",Consumer Staples
TILE,"Interface, Inc.",Industrials
ISCA,International Speedway Corporation,Consumer Discretionary
INTL,INTL FCStone Inc.,Financials
IVC,Invacare Corporation,Health Care
IVR,Invesco Mortgage Capital Inc.,Real Estate
ITG,"Investment Technology Group, Inc.",Financials
IRDM,Iridium Communications Inc.,Telecommunication Services
IRBT,iRobot Corporation,Consumer Discretionary
STAR,iStar Inc.,Real Estate
ITRI,"Itron, Inc.",Information Technology
JJSF,J&J Snack Foods Corp.,Consumer Staples
JCP,"J. C. Penney Company, Inc.",Consumer Discretionary
JKHY,Jack Henry & Associates Inc,Information Technology
JRVR,"James River Group Holdings, Ltd.",Financials
JHG,Janus Henderson Group plc,Financials
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples
JBT,John Bean Technologies Corporation,Industrials
JW.A,John Wiley & Sons,Consumer Discretionary
KALU,Kaiser Aluminum Corporation,Materials
KAMN,Kaman Corporation,Industrials
KS,KapStone Paper and Packaging Corporation,Materials
KELYA,Kelly Services Inc,Industrials
KEM,KEMET Corporation,Information Technology
KEYS,Keysight Technologies Inc,Information Technology
KIRK,"Kirkland's, Inc.",Consumer Discretionary
KRG,Kite Realty Group Trust,Real Estate
KLXI,KLX Inc,Industrials
KN,Knowles Corporation,Information Technology
KOPN,Kopin Corporation,Information Technology
KOP,Koppers Holdings Inc.,Materials
KFY,Korn/Ferry International,Industrials
KRA,Kraton Corporation,Materials
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology
LZB,La-Z-Boy Incorporated,Consumer Discretionary
LW,Lamb Weston Holdings Inc,Consumer Staples
LCI,"Lannett Company, Inc.",Health Care
LNTH,"Lantheus Holdings, Inc.",Health Care
LHO,LaSalle Hotel Properties,Real Estate
LCII,LCI Industries,Consumer Discretionary
LTXB,"LegacyTexas Financial Group, Inc.",Financials
LDOS,Leidos Holdings Inc,Information Technology
LMAT,"LeMaitre Vascular, Inc.",Health Care
LXP,Lexington Realty Trust,Real Estate
LGIH,"LGI Homes, Inc.",Consumer Discretionary
LHCG,"LHC Group, Inc.",Health Care
LPNT,LifePoint Health,Health Care
LGND,Ligand Pharmaceuticals Incorporated,Health Care
LNN,Lindsay Corporation,Materials
LQDT,"Liquidity Services, Inc.",Financials
LAD,"Lithia Motors, Inc.",Consumer Discretionary
LYV,Live Nation Entertainment,Consumer Discretionary
LPSN,"LivePerson, Inc.",Financials
ACXM,"LiveRamp Holdings, Inc (formerly Acxiom)",Information Technology
LXU,"LSB Industries, Inc.",Materials
LKSD,"LSC Communications, Inc.",Industrials
LTC,"LTC Properties, Inc.",Real Estate
LL,"Lumber Liquidators Holdings, Inc.",Consumer Discretionary
LMNX,Luminex Corporation,Health Care
LDL,"Lydall, Inc.",Industrials
MDC,"M.D.C. Holdings, Inc.",Consumer Discretionary
MHO,"M/I Homes, Inc.",Consumer Discretionary
MGLN,"Magellan Health, Inc.",Health Care
MHLD,"Maiden Holdings, Ltd.",Financials
MNK,Mallinckrodt,Health Care
MANT,ManTech International Corporation,Information Technology
HZO,"MarineMax, Inc.",Consumer Discretionary
MKTX,MarketAxess Holdings,Financials
VAC,Marriott Vacations Worldwide Corporation,Real Estate
MTRN,Materion Corporation,Materials
MTRX,Matrix Service Company,Energy
MATX,"Matson, Inc.",Industrials
MATW,Matthews  International Corporation,Industrials
MXL,"MaxLinear, Inc.",Information Technology
MBFI,MB Financial Inc.,Financials
MDR,McDermott International,Energy
MED,"Medifast, Inc.",Consumer Staples
MDP,Meredith Corp,Consumer Discretionary
VIVO,"Meridian Bioscience, Inc.",Health Care
MMSI,"Merit Medical Systems, Inc.",Health Care
MTH,Meritage Homes Corporation,Consumer Discretionary
CASH,"Meta Financial Group, Inc.",Financials
MEI,"Methode Electronics, Inc.",Information Technology
MGPI,"MGP Ingredients, Inc.",Consumer Staples
MSTR,MicroStrategy Incorporated,Information Technology
MDXG,"MiMedx Group, Inc.",Health Care
MINI,"Mobile Mini, Inc.",Industrials
MNTA,"Momenta Pharmaceuticals, Inc.",Health Care
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary
TYPE,Monotype Imaging Holdings Inc.,Information Technology
MNRO,"Monro, Inc.",Customer Discretionary
MOG.A,Moog Inc.,Industrials
MPAA,"Motorcar Parts of America, Inc.",Consumer Discretionary
MOV,"Movado Group, Inc.",Consumer Discretionary
MTSC,MTS Systems Corporation,Information Technology
MLI,"Mueller Industries, Inc.",Industrials
LABL,Multi-Color Corporation,Industrials
MYE,"Myers Industries, Inc.",Materials
MYRG,MYR Group Inc.,Industrials
MYGN,"Myriad Genetics, Inc.",Health Care
NBR,Nabors Industries Ltd,Energy
NANO,Nanometrics Incorporated,Information Technology
NBHC,National Bank Holdings Corporation,Financials
NPK,"National Presto Industries, Inc.",Industrials
NSA,National Storage Affiliates Trust,Real Estate
BABY,Natus Medical Incorporated,Health Care
NLS,"Nautilus, Inc.",Consumer Discretionary
NCI,"Navigant Consulting, Inc.",Industrials
NBTB,NBT Bancorp Inc.,Financials
NP,"Neenah, Inc.",Materials
NEOG,Neogen Corporation,Health Care
NTGR,"NETGEAR, Inc.",Information Technology
NEWM,New Media Investment Group Inc.,Consumer Discretionary
NYMT,"New York Mortgage Trust, Inc.",Real Estate
NYT,New York Times Company,Consumer Discretionary
NR,"Newpark Resources, Inc.",Energy
EGOV,NIC Inc.,Information Technology
NMIH,"NMI Holdings, Inc.",Financials
NE,Noble Corporation plc,Energy
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Financials
NWBI,"Northwest Bancshares, Inc.",Financials
NWN,Northwest Natural Gas Company,Utilities
NTRI,"Nutrisystem, Inc.",Consumer Discretionary
NVR,NVR Inc,Consumer Discretionary
OII,"Oceaneering International, Inc.",Energy
OCLR,"Oclaro, Inc.",Information Technology
OFG,OFG Bancorp,Financials
OIS,"Oil States International, Inc.",Energy
ONB,Old National Bancorp,Financials
OLN,Olin Corporation,Materials
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Consumer Discretionary
ZEUS,"Olympic Steel, Inc.",Materials
OMCL,"Omnicell, Inc.",Health Care
ASGN,On Assignment,Industrials
OSPN,OneSpan Inc.,Information Technology
OPB,Opus Bank,Financials
OSUR,"OraSure Technologies, Inc.",Health Care
ORN,"Orion Group Holdings, Inc.",Industrials
ORIT,Oritani Financial Corp.,Financials
OFIX,Orthofix Medical Inc.,Health Care
OSIS,"OSI Systems, Inc.",Information Technology
OMI,"Owens & Minor, Inc.",Health Care
OXM,"Oxford Industries, Inc.",Consumer Discretionary
GLT,P. H. Glatfelter Company,Materials
PPBI,"Pacific Premier Bancorp, Inc.",Financials
PZZA,Papa John’s International Inc,Consumer Discretionary
PARR,"Par Pacific Holdings, Inc.",Energy
PKE,Park Electrochemical Corp.,Information Technology
PATK,"Patrick Industries, Inc.",Industrials
PDCE,"PDC Energy, Inc.",Energy
PDFS,"PDF Solutions, Inc.",Information Technology
PENN,"Penn National Gaming, Inc.",Consumer Discretionary
PVAC,Penn Virginia Corporation,Energy
PEI,Pennsylvania Real Estate Investment Trust,Real Estate
PMT,PennyMac Mortgage Investment Trust,Real Estate
PRFT,"Perficient, Inc.",Information Technology
PERY,"Perry Ellis International, Inc.",Consumer Discretionary
PRSP,Perspecta Inc.,Information Technology
PETS,"PetMed Express, Inc.",Consumer Discretionary
PGTI,"PGT Innovations, Inc.",Industrials
PAHC,Phibro Animal Health Corporation,Health Care
PLAB,"Photronics, Inc.",Information Technology
PES,Pioneer Energy Services Corp.,Energy
PJC,Piper Jaffray Companies,Financials
PBI,Pitney Bowes,Industrials
PLXS,Plexus Corp.,Information Technology
POWL,"Powell Industries, Inc.",Information Technology
POWI,"Power Integrations, Inc.",Information Technology
PRAA,"PRA Group, Inc.",Financials
PFBC,Preferred Bank,Financials
PRA,ProAssurance Corporation,Financials
PGNX,"Progenics Pharmaceuticals, Inc.",Health Care
PRGS,Progress Software Corporation,Information Technology
PUMP,ProPetro Holding Corp.,Energy
PB,"Prosperity Bancshares, Inc.",Financials
PRLB,"Proto Labs, Inc.",Industrials
PFS,"Provident Financial Services, Inc.",Financials
PSB,"PS Business Parks, Inc.",Real Estate
QEP,QEP Resources Inc,Energy
KWR,Quaker Chemical Corporation,Materials
QLYS,"Qualys, Inc.",Information Technology
NX,Quanex Building Products Corporation,Industrials
QNST,"QuinStreet, Inc.",Information Technology
QHC,Quorum Health Corporation,Health Care
RRD,R.R. Donnelley & Sons Company,Industrials
RMBS,Rambus Inc.,Information Technology
RPT,Ramco-Gershenson Properties Trust,Real Estate
RRC,Range Resources,Energy
RAVN,"Raven Industries, Inc.",Industrials
RYAM,Rayonier Advanced Materials Inc.,Materials
RMAX,"RE/MAX Holdings, Inc.",Real Estate
RRGB,"Red Robin Gourmet Burgers, Inc.",Consumer Discretionary
RWT,"Redwood Trust, Inc.",Real Estate
RGNX,REGENXBIO Inc.,Health Care
RGS,Regis Corporation,Consumer Discretionary
REGI,"Renewable Energy Group, Inc.",Energy
RCII,"Rent-A-Center, Inc.",Consumer Discretionary
RGEN,Repligen Corporation,Health Care
RECN,"Resources Connection, Inc.",Industrials
ROIC,Retail Opportunity Investments Corp.,Real Estate
REX,REX American Resources Corporation,Energy
RH,RH,Consumer Discretionary
REI,"Ring Energy, Inc.",Energy
RLI,RLI Corp.,Financials
ROG,Rogers Corporation,Information Technology
RTEC,"Rudolph Technologies, Inc.",Information Technology
RUTH,"Ruth's Hospitality Group, Inc.",Consumer Discretionary
STBA,"S&T Bancorp, Inc.",Financials
SAFT,"Safety Insurance Group, Inc.",Financials
SAIA,"Saia, Inc.",Industrials
SANM,Sanmina Corporation,Information Technology
BFS,"Saul Centers, Inc.",Real Estate
SCSC,"ScanSource, Inc.",Information Technology
SCHL,Scholastic Corporation,Consumer Discretionary
SWM,"Schweitzer-Mauduit International, Inc.",Materials
SBCF,Seacoast Banking Corporation of Florida,Financials
CKH,SEACOR Holdings Inc.,Energy
SEM,Select Medical Holdings Corporation,Health Care
SIGI,"Selective Insurance Group, Inc.",Financials
SMTC,Semtech Corporation,Information Technology
SENEA,Seneca Foods Corporation,Consumer Staples
SFBS,"ServisFirst Bancshares, Inc.",Financials
SHAK,Shake Shack Inc.,Consumer Discretionary
SCVL,"Shoe Carnival, Inc.",Consumer Discretionary
SFLY,"Shutterfly, Inc.",Consumer Discretionary
SSTK,"Shutterstock, Inc.",Financials
SIG,Signet Jewelers,Consumer Discretionary
SFNC,Simmons First National Corporation,Financials
SSD,"Simpson Manufacturing Co., Inc.",Industrials
SKYW,"SkyWest, Inc.",Industrials
SNBR,Sleep Number Corporation,Consumer Discretionary
SM,SM Energy Co,Energy
SEDG,"SolarEdge Technologies, Inc.",Information Technology
SAH,"Sonic Automotive, Inc.",Customer Discretionary
SONC,Sonic Corp.,Consumer Discretionary
BID,Sotheby's,Consumer Discretionary
SJI,"South Jersey Industries, Inc.",Utilities
SBSI,"Southside Bancshares, Inc.",Financials
SPTN,SpartanNash Company,Consumer Staples
SPPI,"Spectrum Pharmaceuticals, Inc.",Health Care
SR,Spire Inc.,Utilities
SPOK,"Spok Holdings, Inc.",Telecommunication Services
SPSC,"SPS Commerce, Inc.",Information Technology
SPXC,SPX Corporation,Industrials
FLOW,"SPX FLOW, Inc.",Industrials
SRCI,SRC Energy Inc.,Energy
STMP,Stamps.com Inc.,Financials
SMP,"Standard Motor Products, Inc.",Consumer Discretionary
SXI,Standex International Corporation,Industrials
SCL,Stepan Company,Materials
SHOO,"Steven Madden, Ltd.",Consumer Discretionary
STC,Stewart Information Services Corporation,Financials
STRA,"Strategic Education, Inc.",Consumer Discretionary
RGR,"Sturm, Ruger & Company, Inc.",Consumer Discretionary
INN,"Summit Hotel Properties, Inc.",Real Estate
SXC,"SunCoke Energy, Inc.",Materials
SPN,Superior Energy Services Inc,Energy
SUP,"Superior Industries International, Inc.",Consumer Discretionary
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care
SVU,SUPERVALU INC.,Consumer Staples
SRDX,"Surmodics, Inc.",Health Care
SYKE,"Sykes Enterprises, Incorporated",Information Technology
TLRD,"Tailored Brands, Inc.",Consumer Discretionary
TCF,TCF Financial Corp (MN),Financials
TCF,TCF Financial Corporation,Financials
TISI,"Team, Inc.",Industrials
TGNA,"Tegna, Inc.",Consumer Discretionary
TFX,Teleflex Inc,Health Care
TDS,Telephone & Data Systems Inc,Telecommunication Services
TTEK,"Tetra Tech, Inc.",Industrials
TTI,"TETRA Technologies, Inc.",Energy
BKE,"The Buckle, Inc.",Consumer Discretionary
CATO,The Cato Corporation,Consumer Discretionary
PLCE,"The Children's Place, Inc.",Consumer Discretionary
SSP,The E.W. Scripps Company,Consumer Discretionary
ENSG,"The Ensign Group, Inc.",Health Care
GBX,"The Greenbrier Companies, Inc.",Industrials
MCS,The Marcus Corporation,Consumer Discretionary
MDCO,The Medicines Company,Health Care
MIK,The Michaels Companies Inc,Consumer Discretionary
NAVG,"The Navigators Group, Inc.",Financials
PRSC,The Providence Service Corporation,Health Care
TPRE,Third Point Reinsurance Ltd.,Financials
TTS,"Tile Shop Holdings, Inc.",Consumer Discretionary
TMST,TimkenSteel Corporation,Materials
TWI,"Titan International, Inc.",Materials
TVTY,"Tivity Health, Inc.",Health Care
TIVO,TiVo Corporation,Information Technology
TMP,Tompkins Financial Corporation,Financials
BLD,TopBuild Corp.,Consumer Discretionary
TVPT,Travelport Worldwide Limited,Information Technology
TG,Tredegar Corporation,Materials
TGI,"Triumph Group, Inc.",Industrials
TBI,"TrueBlue, Inc.",Industrials
TRST,TrustCo Bank Corp NY,Financials
TTEC,"TTEC Holdings, Inc.",Information Technology
